id,NAME,house_rules,host id,host name,Construction year,calculated host listings count,host_identity_verified,neighbourhood,neighbourhood group,country code,country,lat,long,room type,price,service fee,minimum nights,availability 365,number of reviews,last_review,review rate number,license,instant_bookable,cancellation_policy,reviews per month
12147973,Sunny Bungalow in the City,Clean up and treat the home the way you'd like your home to be treated.  No smoking.,31303940,Virginia,2015/4/15,1,f,Roslindale,Roslindale,US,United States,42.2826188,-71.13306793,Entire home/apt,$250.00 ,$35.00 ,2,0,0,,,,f,moderate,
3075044,Charming room in pet friendly apt,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,2572247,Andrea,2012/6/7,1,t,Roslindale,Roslindale,US,United States,42.28624082,-71.13437396,Private room,$65.00 ,$10.00 ,2,359,36,2016/8/13,9,,t,moderate,1.3
6976,Mexican Folk Art Haven in Boston,"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )",16701,Phil,2009/5/11,1,t,Roslindale,Roslindale,US,United States,42.29243789,-71.13576525,Private room,$65.00 ,,3,319,41,2016/8/5,10,,f,moderate,0.47
1436513,Spacious Sunny Bedroom Suite in Historic Home,"- The bathroom and house are shared so please respect the privacy of others living in the home.  The sunroom and the patio in the yard are available for you to use.  There is a Keurig in the Kitchen is free for you to use.  There is a washer and dryer in the basement which you can use.  The formal living or dining areas are available for light use only.  You may only take water into these areas.  Please do not take food into any part of the house other than the kitchen, sunroom or back patio.  Additional guests to the ones already committed to staying on the premises is not permitted.",6031442,Meghna,2013/4/21,1,f,Roslindale,Roslindale,US,United States,42.28110619,-71.12102117,Private room,$75.00 ,$50.00 ,1,98,1,2016/8/28,10,,f,moderate,1
7651065,Come Home to Boston,"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house.",15396970,Linda,2014/5/11,1,t,Roslindale,Roslindale,US,United States,42.28451221,-71.13625805,Private room,$79.00 ,$15.00 ,2,334,29,2016/9/1,10,,f,flexible,2.25
12386020,Private Bedroom + Great Coffee,"No smoking, please, and no drugs.",64200298,Deborah,2016/3/23,2,t,Roslindale,Roslindale,US,United States,42.2916898,-71.13189277,Private room,$75.00 ,$30.00 ,2,58,8,2016/8/28,10,,f,flexible,1.7
5706985,New Lrg Studio apt 15 min to Boston,Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the large blue garbage bin at the end of the driveway when you leave.,6570877,Juliet,2013/5/25,5,t,Roslindale,Roslindale,US,United States,42.28138963,-71.13119042,Entire home/apt,$100.00 ,,1,344,57,2016/9/1,9,,f,strict,4
2843445,"""Tranquility"" on ""Top of the Hill""","House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS – Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING – Parking is available on street at all times.   5.SHOES – When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr",3164508,Marilyn,2012/8/5,2,t,Roslindale,Roslindale,US,United States,42.2819461,-71.14102161,Private room,$75.00 ,$10.00 ,1,365,67,2016/9/4,10,,f,moderate,2.38
753446,6 miles away from downtown Boston!,"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***",3962517,Sami,2012/10/24,1,t,Roslindale,Roslindale,US,United States,42.28587764,-71.12490956,Private room,$58.00 ,,2,347,65,2016/8/30,10,,f,moderate,5.36
849408,Perfect & Practical Boston Rental,"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed",4434391,Damon,2012/12/18,2,t,Roslindale,Roslindale,US,United States,42.28882028,-71.1395101,Entire home/apt,$229.00 ,$50.00 ,4,107,33,2016/5/27,9,,f,strict,1.01
